ARC,arc
KUR,kur
PES,pes
AZE,aze
BEN,ben
EUS,eus
HIN,hin
JPN,jpn
KAT,kat
KOR,kor
NEP,nep
TAM,tam
TAT,tat
TGK,tgk
TUR,tur
URD,urd
UZB,uzb
PAN,pan
FAS,fas
DEU,deu
HUN,hun
NLD,nld
BOS,bos
SCC,scc
HRV,hrv
HEB,heb
ZHO,zho
BUL,bul
CAT,cat
CES,ces
DAN,dan
ENG,eng
EWE,ewe
FIN,fin
FRA,fra
GAA,gaa
IND,ind
ISL,isl
ITA,ita
KIK,kik
LAV,lav
LIT,lit
LUB,lub
NOR,nor
POL,pol
POR,por
RON,ron
RUS,rus
SLV,slv
SME,sme
SNA,sna
SPA,spa
SQI,sqi
ALB,alb
SWA,swa
SWE,swe
THA,tha
UKR,ukr
VIE,vie
XHO,xho
YOR,yor
YUE,yue
MKD,mkd
HBS,hbs
CMN,cmn
ELL,ell
GRE,gre
AFR,afr
ALQ,alq
ANG,ang
BAK,bak
BEW,bew
BFI,bfi
CMA,cma
EBU,ebu
GLG,glg
GRC,grc
HBO,hbo
III,iii
KAZ,kaz
KIR,kir
KUA,kua
LAT,lat
LUY,luy
MAI,mai
MON,mon
BAI,bai
NAP,nap
NON,non
NYF,nyf
ROH,roh
SLK,slk
SVE,sve
TWI,twi
TZM,tzm
YID,yid
EPO,epo
KYE,kye
LTZ,ltz
GER,ger
JBE,jbe
ARA,ara
HYE,hye
MLY,mly
KAL,kal
NDE,nde
PST,pst
PRS,prs
BEL,bel
CYM,cym
GLE,gle
ARB,arb
PRD,prd
NAN,nan
PAT,pat
EWA,ewa
ROU,rou
