ALBANIAN,Albanian
ALGONQUIAN,Algonquian
ARMENIAN,Armenian
BALTIC,Baltic
BANTU,Bantu
BASQUE,Basque
BERBER,Berber
BURMESE_LOLO,Burmese-Lolo
CELTIC,Celtic
CHINESE,Chinese
CREOLES_AND_PIDGIN,Creoles and Pidgin
DEFOID,Defoid
DRAVIDIAN,Dravidian
ESKIMO,Eskimo
FINNIC,Finnic
GA_DENGME,Ga-Dengme
GBE,Gbe
GERMANIC,Germanic
GREEK,Greek
INDIC,Indic
IRANIAN,Iranian
JAPANESE,Japanese
KAM_THAI,Kam-Thai
KARTVELIAN,Kartvelian
KOREAN,Korean
MALAYO_SUMBAWAN,Malayo-Sumbawan
ROMANCE,Romance
SAAMI,Saami
SEMITIC,Semitic
SIGN_LANGUAGES,Sign Languages
SLAVIC,Slavic
TURKIC,Turkic
UGRIC,Ugric
UNCLEAR,unclear
NOT_AVAILABLE,notAvailable
VIETIC,Vietic
