PORTUGIESISCH,Portugiesisch
ARAM_ISCH,Aramäisch
KURDISCH,Kurdisch
WESTPERSISCH_IRANISCHES_PERSISCH_FARSI,"Westpersisch, Iranisches  Persisch, Farsi"
ASERBAIDSCHANISCH,Aserbaidschanisch
BENGALISCH,Bengalisch
BASKISCH,Baskisch
HINDI,Hindi
JAPANISCH,Japanisch
GEORGISCH,Georgisch
KOREANISCH,Koreanisch
NEPALI,Nepali
TAMIL,Tamil
TATARISCH,Tatarisch
TADSCHIKISCH,Tadschikisch
T_RKISCH,Türkisch
URDU,Urdu
USBEKISCH,Usbekisch
PANJABI_PANDSCHABISCH,"Panjabi, Pandschabisch"
PERSISCH,Persisch
DEUTSCH,Deutsch
UNGARISCH,Ungarisch
NIEDERL_NDISCH_BELGISCHES_NIEDERL_NDISCH,"Niederländisch,  Belgisches Niederländisch"
BOSNISCH,Bosnisch
SERBISCH,Serbisch
KROATISCH,Kroatisch
HEBR_ISCH,Hebräisch
CHINESISCH,Chinesisch
BULGARISCH,Bulgarisch
KATALANISCH_VALENCIANISCH,"Katalanisch, Valencianisch"
TSCHECHISCH,Tschechisch
D_NISCH,Dänisch
ENGLISCH,Englisch
EWE,Ewe
FINNISCH,Finnisch
FRANZ_SISCH,Französisch
GA,Ga
IGBO,Igbo
INDONESISCH,Indonesisch
ISL_NDISCH,Isländisch
ITALIENISCH,Italienisch
KIKUYU,Kikuyu
LETTISCH,Lettisch
LITAUISCH,Litauisch
KILUBA,Kiluba
NORWEGISCH_RIKSM_L,"Norwegisch,  Riksmål"
POLNISCH,Polnisch
RUM_NISCH,Rumänisch
RUSSISCH,Russisch
SLOWENISCH,Slowenisch
NORDSAMISCH,Nordsamisch
SHONA,Shona
KASTILISCH,Kastilisch
SPANISCH,Spanisch
ALBANISCH,Albanisch
SWAHILI,Swahili
SCHWEDISCH,Schwedisch
THAIL_NDISCH_THAI,"Thailändisch, Thai"
UKRAINISCH,Ukrainisch
VIETNAMESISCH,Vietnamesisch
ISI_XHOSA,isiXhosa
YORUBA,Yoruba
KANTONESISCH,Kantonesisch
MAZEDONISCH,Mazedonisch
SERBOKROATISCH,Serbokroatisch
MANDARIN_HOCHCHINESISCH,"Mandarin,  Hochchinesisch"
GRIECHISCH,Griechisch
AFRIKAANS_KAPHOLL_NDISCH_KOLONIAL_NIEDERL_NDISCH,"Afrikaans, Kapholländisch, Kolonial-Niederländisch"
ALGONKIN,Algonkin
ALTENGLISCH,Altenglisch
BASCHKIRISCH,Baschkirisch
BETAWI,Betawi
BRITISH_SIGN_LANGUAGE,British Sign Language
MAA,Maa
EMBU,Embu
ALTFRANZ_SISCH,Altfranzösisch
GALICISCH_GALEGISCH,"Galicisch, Galegisch"
MITTELHOCHDEUTSCH,Mittelhochdeutsch
ALTGRIECHISCH,Altgriechisch
ALTHEBR_ISCH,Althebräisch
SICHUAN_YI,Sichuan-Yi
KASACHISCH,Kasachisch
KIRGISISCH,Kirgisisch
OSHI_KWANYAMA,oshiKwanyama
LATEIN_ISCH,Latein(isch)
LUHYA,Luhya
MAITHILI,Maithili
MONGOLISCH,Mongolisch
BAMILEKE,Bamileke
NEAPOLITANISCH,Neapolitanisch
ALTNORDISCH,Altnordisch
GIRYAMA,Giryama
B_NDNERROMANISCH_R_TOROMANISCH,"Bündnerromanisch, Rätoromanisch"
SLOWAKISCH,Slowakisch
SERILI,Serili
TWI,Twi
ZENTRALATLAS_TAMAZIGHT,Zentralatlas-Tamazight
JIDDISCH,Jiddisch
ESPERANTO,Esperanto
KRATSCHE,Kratsche
LUXEMBURGISCH_L_TZEBUERGESCH,"Luxemburgisch, Lëtzebuergesch"
JUD_O_BERBER,Judäo-Berber
ARABISCH,Arabisch
ARMENISCH,Armenisch
MALAIISCH,Malaiisch
GR_NL_NDISCH_KALAALLISUT,"Grönländisch, Kalaallisut"
NORD_NDEBELE,Nord-Ndebele
ZENTRAL_PASCHTU,Zentral-Paschtu
DARI_AFGHANISCHES_PERSISCH,"Dari, afghanisches Persisch"
BELARUSSISCH,Belarussisch
WALISISCH,Walisisch
IRISCH,Irisch
ARABISCH_STANDARD,Arabisch (Standard)
DARI_PERSIAN,Dari (Persian)
MIN_NAN,Min Nan
PAT_DUMMY,PAT_dummy
EWA_DUMMY,EWA_dummy
ROU_DUMMY,ROU_dummy
NOT_AVAILABLE,notAvailable
