ARAMAIC,Aramaic
KURDISH,Kurdish
WESTERN_FARSI,Western Farsi
AZERBAIJANI,Azerbaijani
BENGALI,Bengali
BASQUE,Basque
HINDI,Hindi
JAPANESE,Japanese
GEORGIAN,Georgian
KOREAN,Korean
NEPALI,Nepali
TAMIL,Tamil
TATAR,Tatar
TAJIK,Tajik
TURKISH,Turkish
URDU,Urdu
IGBO,Igbo
UZBEK,Uzbek
PANJABI_PUNJABI,Panjabi; Punjabi
PERSIAN,Persian
GERMAN,German
HUNGARIAN,Hungarian
DUTCH,Dutch
BOSNIAN,Bosnian
SERBIAN,Serbian
CROATIAN,Croatian
HEBREW,Hebrew
CHINESE,Chinese
BULGARIAN,Bulgarian
CATALAN,Catalan
CZECH,Czech
DANISH,Danish
ENGLISH,English
EWE,Ewe
FINNISH,Finnish
FRENCH,French
GA,Ga
INDONESIAN,Indonesian
ICELANDIC,Icelandic
ITALIAN,Italian
KIKUYU,Kikuyu
LATVIAN,Latvian
LITHUANIAN,Lithuanian
LUBA_KATANGA,Luba-Katanga
NORWEGIAN,Norwegian
POLISH,Polish
PORTUGUESE,Portuguese
ROMANIAN,Romanian
RUSSIAN,Russian
SLOVENIAN,Slovenian
NORTHERN_SAMI,Northern Sami
SHONA,Shona
SPANISH_CASTILIAN,Spanish (Castilian)
ALBANIAN,Albanian
SWAHILI_GENERIC,Swahili (generic)
SWEDISH,Swedish
THAI,Thai
UKRAINIAN,Ukrainian
VIETNAMESE,Vietnamese
XHOSA,Xhosa
YORUBA,Yoruba
YUE_CHINESE_CANTONESE,Yue Chinese (Cantonese)
MACEDONIAN,Macedonian
SERBO_CROATIAN,Serbo-Croatian
MANDARIN_CHINESE,Mandarin Chinese
GREEK,Greek
AFRIKAANS,Afrikaans
ALGONQUIN,Algonquin
OLD_ENGLISH,Old English
BASHKIR,Bashkir
BETAWI,Betawi
BRITISH_SIGN_LANGUAGE,British Sign Language
MAA,Maa
EMBU,Embu
GALICIAN,Galician
GREEK_ANCIENT_TO_1453,"Greek, Ancient (to 1453)"
HEBREW_ANCIENT,"Hebrew, Ancient"
YI_SICHUAN,"Yi, Sichuan"
KAZAKH,Kazakh
KYRGYZ,Kyrgyz
KUANYAMA,Kuanyama
LATIN,Latin
LUYIA,Luyia
MAITHILI,Maithili
MONGOLIAN,Mongolian
BAMILEKE,Bamileke
NEAPOLITAN,Neapolitan
NORSE_OLD,"Norse, Old"
GIRYAMA,Giryama
RAETO_ROMANCE,Raeto-Romance
SLOVAK,Slovak
SERILI,Serili
TWI,Twi
TAMAZIGHT_CENTRAL_ATLAS,"Tamazight, Central Atlas"
YIDDISH,Yiddish
ESPERANTO,Esperanto
KRACHE,Krache
LUXEMBOURGISH_LETZEBURGESCH,Luxembourgish; Letzeburgesch
JUDEO_BERBER,Judeo-Berber
ARABIC,Arabic
ARMENIAN,Armenian
MALAY_INDIVIDUAL_LANGUAGE,Malay (individual language)
KALAALLISUT,Kalaallisut
NDEBELE_NORTH,"Ndebele, North"
PASHTO_CENTRAL,"Pashto, Central"
PERSIAN_DARI,Persian (Dari)
BELARUSIAN,Belarusian
WELSH,Welsh
IRISH,Irish
ARABIC_STANDARD,Arabic (standard)
DARI_PERSIAN,Dari (Persian)
MIN_NAN_CHINESE,Min Nan Chinese
PAT_DUMMY,PAT_dummy
EWA_DUMMY,EWA_dummy
ROU_DUMMY,ROU_dummy
NOT_AVAILABLE,notAvailable
